model_year,engine_size_band,vehicle_records,average_co2_g_km,average_combined_l_100km,average_engine_size_l
1995,2.1-3.0L,246,279.4837398373984,12.120325203252031,2.586991869918699
1995,3.1-4.0L,133,311.0601503759398,13.504511278195489,3.5804511278195488
1995,<=2.0L,186,221.15591397849462,9.584946236559139,1.7505376344086023
1995,>4.0L,274,390.04014598540147,16.696350364963504,5.302919708029197
1996,2.1-3.0L,210,273.8857142857143,11.88190476190476,2.5723809523809527
1996,3.1-4.0L,130,308.2076923076923,13.4,3.6238461538461535
1996,<=2.0L,164,223.2378048780488,9.589024390243901,1.7621951219512195
1996,>4.0L,194,373.9381443298969,16.185567010309278,5.2195876288659795
1997,2.1-3.0L,192,272.7395833333333,11.836979166666666,2.5619791666666667
1997,3.1-4.0L,134,310.56716417910445,13.499253731343284,3.662686567164179
1997,<=2.0L,146,221.8013698630137,9.591095890410958,1.7842465753424657
1997,>4.0L,186,367.26881720430106,15.875268817204303,5.055913978494623
1998,2.1-3.0L,186,270.36559139784947,11.743010752688171,2.582795698924731
1998,3.1-4.0L,122,312.23770491803276,13.575409836065575,3.6508196721311474
1998,<=2.0L,142,221.23239436619718,9.573239436619719,1.8140845070422538
1998,>4.0L,184,375.70652173913044,16.282608695652176,5.115760869565217
1999,2.1-3.0L,214,272.0607476635514,11.94766355140187,2.594859813084112
1999,3.1-4.0L,133,311.45864661654133,13.538345864661654,3.6593984962406014
1999,<=2.0L,154,220.5974025974026,9.535714285714286,1.8376623376623376
1999,>4.0L,187,372.88770053475935,16.24331550802139,5.019251336898396
2000,2.1-3.0L,190,272.55263157894734,11.845263157894736,2.5805263157894736
2000,3.1-4.0L,136,314.30882352941177,13.741176470588234,3.615441176470588
2000,<=2.0L,139,222.53237410071944,9.623741007194244,1.8187050359712231
2000,>4.0L,173,368.757225433526,16.04797687861272,4.901734104046243
2001,2.1-3.0L,217,272.2350230414747,11.923502304147465,2.5990783410138247
2001,3.1-4.0L,143,312.53846153846155,13.586013986013986,3.6055944055944056
2001,<=2.0L,142,223.38028169014083,9.66056338028169,1.8443661971830985
2001,>4.0L,177,361.045197740113,15.768926553672316,4.898305084745763
2002,2.1-3.0L,224,269.33035714285717,11.805357142857144,2.5973214285714286
2002,3.1-4.0L,167,314.1556886227545,13.68802395209581,3.5922155688622754
2002,<=2.0L,137,225.71532846715328,9.75985401459854,1.8635036496350366
2002,>4.0L,212,371.8679245283019,16.63254716981132,5.019811320754717
2003,2.1-3.0L,263,268.15589353612165,11.750950570342205,2.6247148288973383
2003,3.1-4.0L,172,306.9825581395349,13.472093023255812,3.5680232558139537
2003,<=2.0L,153,223.4248366013072,9.65032679738562,1.866666666666667
2003,>4.0L,232,374.875,16.61508620689655,4.940086206896551
2004,2.1-3.0L,286,264.5874125874126,11.523076923076923,2.5937062937062936
2004,3.1-4.0L,193,302.90673575129534,13.264248704663212,3.532642487046632
2004,<=2.0L,138,222.6231884057971,9.607246376811593,1.8420289855072463
2004,>4.0L,281,368.7580071174377,16.561565836298932,4.9366548042704625
2005,2.1-3.0L,317,263.29337539432174,11.484542586750788,2.6
2005,3.1-4.0L,251,300.61752988047806,13.219521912350597,3.558167330677291
2005,<=2.0L,156,223.50641025641025,9.628846153846153,1.825
2005,>4.0L,295,364.7389830508475,16.319322033898306,4.99593220338983
2006,2.1-3.0L,314,259.7579617834395,11.29968152866242,2.5987261146496814
2006,3.1-4.0L,237,293.915611814346,12.878481012658227,3.5725738396624473
2006,<=2.0L,113,215.5486725663717,9.265486725663717,1.8265486725663718
2006,>4.0L,304,356.39473684210526,15.867763157894737,5.057236842105263
2007,2.1-3.0L,313,256.3801916932907,11.142811501597443,2.605111821086262
2007,3.1-4.0L,267,291.1573033707865,12.848689138576779,3.614606741573034
2007,<=2.0L,121,217.8595041322314,9.47107438016529,1.865289256198347
2007,>4.0L,342,354.266081871345,16.162573099415205,5.121929824561404
2008,2.1-3.0L,319,253.16927899686522,11.03322884012539,2.6184952978056426
2008,3.1-4.0L,291,290.54639175257734,12.733333333333334,3.597938144329897
2008,<=2.0L,136,215.5441176470588,9.368382352941175,1.850735294117647
2008,>4.0L,333,354.85885885885887,16.135435435435436,5.200900900900901
2009,2.1-3.0L,298,246.8724832214765,10.86040268456376,2.5953020134228186
2009,3.1-4.0L,281,287.06049822064057,12.61032028469751,3.6362989323843413
2009,<=2.0L,149,213.8255033557047,9.265100671140939,1.8590604026845639
2009,>4.0L,368,348.5,16.006521739130434,5.269565217391304
2010,2.1-3.0L,322,242.93788819875778,10.729813664596273,2.634782608695652
2010,3.1-4.0L,253,281.99604743083006,12.368774703557312,3.6332015810276683
2010,<=2.0L,151,206.0,8.9,1.8443708609271523
2010,>4.0L,304,347.63486842105266,16.114802631578947,5.3187500000000005
2011,2.1-3.0L,307,240.08469055374593,10.658631921824103,2.6521172638436483
2011,3.1-4.0L,281,276.02846975088966,12.328469750889681,3.6416370106761566
2011,<=2.0L,173,201.41040462427745,8.754335260115607,1.8179190751445087
2011,>4.0L,324,344.570987654321,16.24135802469136,5.334876543209877
2012,2.1-3.0L,259,238.05405405405406,10.567181467181468,2.6525096525096523
2012,3.1-4.0L,297,268.1313131313131,12.045117845117845,3.616835016835017
2012,<=2.0L,212,196.80188679245282,8.549056603773586,1.8179245283018868
2012,>4.0L,323,344.24148606811144,16.20247678018576,5.382043343653251
2013,2.1-3.0L,211,234.29857819905214,10.123222748815166,2.6535545023696683
2013,3.1-4.0L,270,264.0444444444444,12.182962962962963,3.6144444444444446
2013,<=2.0L,298,195.55369127516778,8.541946308724832,1.8040268456375839
2013,>4.0L,303,339.17491749174917,16.06072607260726,5.383828382838284
2014,2.1-3.0L,207,231.8502415458937,10.005797101449275,2.657487922705314
2014,3.1-4.0L,273,262.032967032967,11.967765567765568,3.5974358974358975
2014,<=2.0L,312,195.07371794871796,8.495192307692308,1.7932692307692308
2014,>4.0L,279,336.59498207885304,15.787813620071685,5.33405017921147
2015,2.1-3.0L,251,231.0756972111554,10.034262948207171,2.6729083665338647
2015,3.1-4.0L,277,261.2274368231047,11.78303249097473,3.5978339350180506
2015,<=2.0L,368,195.22826086956522,8.476630434782608,1.8116847826086957
2015,>4.0L,236,327.8262711864407,14.942372881355933,5.347881355932203
2016,2.1-3.0L,274,237.6094890510949,10.189051094890512,2.687956204379562
2016,3.1-4.0L,264,267.65909090909093,11.827651515151516,3.596212121212121
2016,<=2.0L,364,197.81043956043956,8.48543956043956,1.807967032967033
2016,>4.0L,208,325.4423076923077,14.404807692307692,5.345192307692307
2017,2.1-3.0L,259,241.1158301158301,10.37027027027027,2.701544401544402
2017,3.1-4.0L,215,273.29767441860463,12.013023255813954,3.598139534883721
2017,<=2.0L,376,199.06382978723406,8.515159574468084,1.817287234042553
2017,>4.0L,208,328.6730769230769,14.546634615384615,5.436057692307693
2018,2.1-3.0L,267,243.04868913857678,10.388389513108613,2.758426966292135
2018,3.1-4.0L,245,272.42857142857144,11.97265306122449,3.6077551020408163
2018,<=2.0L,374,200.01871657754012,8.50187165775401,1.822192513368984
2018,>4.0L,197,326.6243654822335,14.51522842639594,5.424365482233502
2019,2.1-3.0L,278,245.6978417266187,10.41906474820144,2.7841726618705036
2019,3.1-4.0L,224,275.0982142857143,12.079910714285715,3.6245535714285713
2019,<=2.0L,366,200.44535519125682,8.551912568306012,1.8336065573770493
2019,>4.0L,188,330.1170212765957,14.597340425531916,5.446808510638298
2020,2.1-3.0L,272,246.6875,10.429044117647058,2.7834558823529414
2020,3.1-4.0L,180,277.3333333333333,11.966111111111111,3.6622222222222223
2020,<=2.0L,332,203.09036144578315,8.69578313253012,1.8695783132530122
2020,>4.0L,191,334.9109947643979,14.746596858638743,5.442408376963351
2021,2.1-3.0L,278,246.22661870503597,10.34208633093525,2.7449640287769785
2021,3.1-4.0L,180,286.24444444444447,12.319444444444445,3.6988888888888884
2021,<=2.0L,309,203.3495145631068,8.697734627831714,1.866990291262136
2021,>4.0L,203,340.0738916256158,14.726600985221674,5.495073891625616
2022,2.1-3.0L,295,250.05762711864406,10.528813559322034,2.7477966101694915
2022,3.1-4.0L,174,287.6034482758621,12.316666666666666,3.6660919540229884
2022,<=2.0L,294,201.39795918367346,8.624149659863946,1.866326530612245
2022,>4.0L,196,340.1887755102041,14.803061224489797,5.496938775510205
2023,2.1-3.0L,248,244.91532258064515,10.341129032258063,2.732258064516129
2023,3.1-4.0L,134,285.64925373134326,12.285074626865672,3.6313432835820896
2023,<=2.0L,258,202.65116279069767,8.651937984496124,1.863953488372093
2023,>4.0L,159,335.314465408805,14.71823899371069,5.491823899371069
