model_year,fuel_type_code,fuel_type,vehicle_records,average_co2_g_km,average_combined_l_100km,average_engine_size_l
1995,D,Diesel,37,359.94594594594594,13.332432432432432,5.494594594594595
1995,X,Regular Gasoline,617,298.6223662884927,12.981361426256077,3.1695299837925446
1995,Z,Premium Gasoline,185,327.3621621621622,14.22972972972973,3.958378378378378
1996,D,Diesel,19,325.5263157894737,12.052631578947368,3.4631578947368418
1996,N,Natural Gas,1,246.0,13.0,4.6
1996,X,Regular Gasoline,557,293.7342908438061,12.769299820466786,3.259784560143627
1996,Z,Premium Gasoline,121,303.2809917355372,13.184297520661156,3.5272727272727273
1997,D,Diesel,14,302.35714285714283,11.207142857142857,3.9857142857142853
1997,X,Regular Gasoline,504,293.45238095238096,12.754761904761905,3.2363095238095236
1997,Z,Premium Gasoline,140,303.8857142857143,13.21,3.5478571428571426
1998,D,Diesel,12,312.0833333333333,11.558333333333335,4.291666666666667
1998,N,Natural Gas,2,383.5,20.3,5.4
1998,X,Regular Gasoline,470,295.2808510638298,12.835744680851064,3.252553191489362
1998,Z,Premium Gasoline,150,304.2133333333333,13.224666666666668,3.5580000000000003
1999,D,Diesel,10,235.5,8.72,2.93
1999,E,E85,5,292.8,18.3,3.0
1999,N,Natural Gas,3,404.0,21.399999999999995,5.2
1999,X,Regular Gasoline,499,294.59519038076155,12.80501002004008,3.239078156312625
1999,Z,Premium Gasoline,171,300.07602339181284,13.04561403508772,3.4350877192982456
2000,D,Diesel,6,178.5,6.599999999999999,1.8999999999999997
2000,E,E85,2,283.0,17.7,3.3
2000,N,Natural Gas,1,353.0,18.7,5.2
2000,X,Regular Gasoline,454,297.81497797356826,12.944493392070484,3.26431718061674
2000,Z,Premium Gasoline,175,297.48571428571427,12.930857142857143,3.3005714285714287
2001,D,Diesel,6,179.5,6.6499999999999995,1.8999999999999997
2001,E,E85,4,260.0,16.25,2.2
2001,N,Natural Gas,4,341.5,18.075,5.1
2001,X,Regular Gasoline,442,297.89366515837105,12.949547511312216,3.2916289592760184
2001,Z,Premium Gasoline,223,288.0762331838565,12.521076233183855,3.197309417040359
2002,D,Diesel,6,178.5,6.599999999999999,1.8999999999999997
2002,E,E85,13,326.9230769230769,20.430769230769233,4.1923076923076925
2002,N,Natural Gas,13,366.0,19.376923076923077,5.43076923076923
2002,X,Regular Gasoline,455,300.6175824175824,13.067692307692308,3.3483516483516484
2002,Z,Premium Gasoline,253,299.1818181818182,13.006324110671937,3.3249011857707513
2003,D,Diesel,8,179.0,6.625,1.9
2003,E,E85,17,311.05882352941177,19.423529411764708,4.117647058823529
2003,N,Natural Gas,6,355.8333333333333,18.833333333333332,5.766666666666667
