model_year,make,vehicle_records,average_co2_g_km,average_combined_l_100km,average_engine_size_l,average_peer_gap_g_km,low_to_high_emission_rank
1995,GEO,3,161.6667,7.03333,1.2,0.0,1
1995,SATURN,12,210.6667,9.15,1.9,5.9166667,2
1995,HYUNDAI,11,227.0,9.86364,1.79091,9.6818182,3
1995,SUZUKI,9,227.7778,9.9,1.48889,0.0,4
1995,HONDA,18,230.1667,10.00556,1.99444,19.25,5
1995,SUBARU,15,241.0667,10.48,2.04,24.1,6
1995,EAGLE,16,245.9375,10.6875,2.1625,19.65625,7
1995,PLYMOUTH,19,253.7368,11.02632,2.58421,8.9736842,8
1995,MAZDA,37,253.8919,11.04054,2.07297,23.7162162,9
1995,PONTIAC,31,260.871,11.33871,2.89032,34.2419355,10
1995,TOYOTA,40,265.9,11.5625,2.375,15.3375,11
1995,MERCURY,12,266.25,11.575,3.21667,15.2916667,12
1995,VOLKSWAGEN,33,269.1515,11.38182,2.30909,26.5454545,13
1995,ACURA,8,269.375,11.7125,2.625,40.25,14
1995,NISSAN,32,270.75,11.76875,2.50625,21.75,15
1995,INFINITI,4,271.0,11.775,2.875,44.75,16
1995,SAAB,25,277.32,12.052,2.36,25.62,17
1995,CHRYSLER,11,278.3636,12.09091,3.03636,20.9090909,18
1995,VOLVO,20,278.4,12.1,2.42,28.25,19
1995,BUICK,14,279.6429,12.15,3.53571,22.2142857,20
1995,OLDSMOBILE,14,280.9286,12.20714,3.15,27.1071429,21
1995,BMW,24,286.5833,12.4625,2.9,62.0833333,22
1995,LEXUS,4,288.0,12.525,3.5,52.375,23
1995,AUDI,9,289.8889,12.6,2.73333,65.9444444,24
1995,LINCOLN,2,294.0,12.8,4.6,20.75,25
1995,FORD,70,315.8286,13.73,3.83857,32.75,26
1995,MERCEDES-BENZ,19,317.0,13.59474,3.96316,61.9868421,27
1995,ALFA ROMEO,2,324.5,14.1,3.0,102.0,28
1995,CADILLAC,7,327.0,14.21429,4.8,48.0714286,29
1995,PORSCHE,7,329.1429,14.31429,3.94286,66.6428571,30
1995,JEEP,15,342.6,14.89333,3.48,82.6,31
1995,DODGE,77,346.9221,15.07922,4.03766,40.762987,32
1995,CHEVROLET,109,351.3945,14.9211,4.60092,45.4977064,33
1995,JAGUAR,8,353.75,15.375,4.75,134.6875,34
1995,ISUZU,5,371.8,16.16,3.2,111.8,35
1995,GMC,76,382.0789,16.18026,5.08158,49.9736842,36
1995,LAND ROVER,3,435.6667,18.93333,4.0,175.6666667,37
