segment_error_id,segment_type,segment_value,vehicle_records,average_actual_co2_g_km,average_predicted_co2_g_km,mae,rmse,mape,r_squared,mean_error_pred_minus_actual,p90_absolute_error
9,Vehicle Class,PICKUP TRUCK - STANDARD,210,304.557143,294.210871,19.545786,27.89998,0.06182241,0.53650612,-10.346271,50.0687
24,Engine Size Band,>4.0L,355,338.005634,331.972307,15.106741,23.068934,0.04337186,0.77623574,-6.033327,36.6392
8,Vehicle Class,PICKUP TRUCK - SMALL,27,265.333333,273.946815,14.108593,19.396554,0.0615225,0.77448473,8.613481,35.139
13,Vehicle Class,SUBCOMPACT,154,248.902597,246.133136,12.975578,20.775649,0.04991625,0.82830224,-2.769461,28.7614
21,Engine Size Band,2.1-3.0L,543,247.709024,245.031365,12.616127,19.938948,0.04993216,0.79439365,-2.677659,27.303
15,Vehicle Class,SUV - STANDARD,282,304.429078,300.34678,12.317532,19.769772,0.0390446,0.82093258,-4.082298,26.979
19,Fuel Type,Premium Gasoline,859,277.0,274.763333,12.076679,19.52679,0.04294794,0.90644724,-2.236667,27.3038
2,Model Year,2023,799,256.088861,254.481742,11.898984,18.923438,0.04666783,0.91218639,-1.607119,26.979
6,Vehicle Class,MINICOMPACT,64,274.984375,270.957281,11.645156,18.275566,0.04142962,0.87490994,-4.027094,40.0028
22,Engine Size Band,3.1-4.0L,308,286.753247,283.664211,11.419464,19.158828,0.03836431,0.77344986,-3.089036,27.861
17,Fuel Type,Diesel,48,271.083333,268.131833,11.41325,15.195472,0.04148874,0.09180467,-2.9515,24.0786
1,Model Year,2022,959,260.373306,257.679697,10.856057,17.736122,0.04067303,0.92581772,-2.693609,27.1094
16,Vehicle Class,TWO-SEATER,86,311.639535,310.412523,10.660291,20.183952,0.02844854,0.95847265,-1.227012,30.905
20,Fuel Type,Regular Gasoline,822,237.131387,235.010939,10.610774,17.228611,0.04439724,0.92065246,-2.120448,25.289
14,Vehicle Class,SUV - SMALL,388,229.75,230.703379,10.572838,15.717883,0.04722221,0.86181562,0.953379,24.083
3,Vehicle Class,COMPACT,129,207.062016,207.164202,9.751984,16.186734,0.04841574,0.86525727,0.102186,18.7966
18,Fuel Type,E85,29,290.896552,288.783379,9.465103,13.371854,0.03154349,0.86108097,-2.113172,18.692
7,Vehicle Class,MINIVAN,14,227.0,228.026143,8.099286,10.479037,0.03248413,0.94816081,1.026143,18.2701
12,Vehicle Class,STATION WAGON - SMALL,33,192.272727,187.800485,7.768242,12.88434,0.03970552,0.8894733,-4.472242,22.7502
23,Engine Size Band,<=2.0L,552,201.983696,203.215514,7.586236,11.256133,0.03979466,0.8878114,1.231819,18.3864
11,Vehicle Class,STATION WAGON - MID-SIZE,16,284.75,282.927,7.467,12.000692,0.02991139,0.96730193,-1.823,19.758
5,Vehicle Class,MID-SIZE,226,229.323009,228.988982,7.052708,11.35471,0.03207227,0.96574812,-0.334027,15.179
4,Vehicle Class,FULL-SIZE,112,256.589286,255.760634,7.031366,10.535773,0.0314141,0.97983413,-0.828652,15.2947
10,Vehicle Class,SPECIAL PURPOSE VEHICLE,17,242.0,239.732235,3.996235,5.541676,0.01619224,0.95428433,-2.267765,9.9006
