model_year,transmission_family_code,transmission_family,vehicle_records,average_co2_g_km,average_combined_l_100km,average_engine_size_l
1995,A,Automatic,538,316.6840148698885,13.66282527881041,3.6347583643122676
1995,M,Manual,301,291.54152823920265,12.57375415282392,3.108637873754153
1996,A,Automatic,463,307.80129589632827,13.33110151187905,3.5354211663066955
1996,M,Manual,235,273.30212765957447,11.819148936170214,2.876595744680851
1997,A,Automatic,445,307.9168539325843,13.343370786516854,3.5451685393258425
1997,M,Manual,213,270.67605633802816,11.722535211267607,2.8450704225352115
1998,A,Automatic,420,306.85238095238094,13.306666666666667,3.5342857142857147
1998,AS,Automatic with Select Shift,6,332.0,14.433333333333332,3.1333333333333333
1998,M,Manual,208,279.11538461538464,12.117307692307692,2.987980769230769
1999,A,Automatic,452,307.3893805309734,13.400442477876107,3.5179203539823005
1999,AS,Automatic with Select Shift,14,307.42857142857144,13.364285714285714,3.185714285714286
1999,M,Manual,222,270.73423423423424,11.79864864864865,2.832882882882883
2000,A,Automatic,406,307.5197044334975,13.392118226600985,3.5
2000,AS,Automatic with Select Shift,18,299.8888888888889,13.033333333333333,3.0999999999999996
2000,M,Manual,214,275.73364485981307,11.970093457943925,2.8317757009345796
2001,A,Automatic,425,304.8705882352941,13.299058823529412,3.508470588235294
2001,AS,Automatic with Select Shift,29,286.0689655172414,12.431034482758621,2.9344827586206894
2001,AV,Continuously Variable,1,129.0,5.6,1.5
2001,M,Manual,224,274.0982142857143,11.941517857142857,2.8160714285714286
2002,A,Automatic,460,313.9260869565217,13.892826086956521,3.695869565217391
2002,AS,Automatic with Select Shift,45,301.3333333333333,13.097777777777777,3.197777777777778
2002,AV,Continuously Variable,5,236.4,10.28,2.1399999999999997
2002,M,Manual,230,275.67391304347825,12.008695652173913,2.8108695652173914
2003,A,Automatic,471,311.9596602972399,13.79660297239915,3.6649681528662423
2003,AM,Automated Manual,2,304.0,13.2,3.2
2003,AS,Automatic with Select Shift,90,299.44444444444446,13.07,3.1244444444444444
2003,AV,Continuously Variable,12,230.66666666666666,10.025,2.225
2003,M,Manual,245,274.37551020408165,11.908979591836735,2.8375510204081635
2004,A,Automatic,497,316.2696177062374,14.098591549295774,3.837022132796781
2004,AM,Automated Manual,15,267.8,11.639999999999999,3.14
2004,AS,Automatic with Select Shift,130,291.9384615384615,12.653846153846153,3.113076923076923
2004,AV,Continuously Variable,13,229.3846153846154,9.96923076923077,2.2615384615384615
2004,M,Manual,243,273.0,11.847736625514404,2.785185185185185
2005,A,Automatic,497,313.5311871227364,14.008853118712272,3.8577464788732394
2005,AM,Automated Manual,16,265.0,11.5125,3.1
2005,AS,Automatic with Select Shift,196,294.1683673469388,12.734183673469389,3.25
2005,AV,Continuously Variable,18,232.33333333333334,10.100000000000001,2.3555555555555556
2005,M,Manual,292,272.1917808219178,11.817465753424656,2.8407534246575343
2006,A,Automatic,479,307.8413361169102,13.675156576200417,3.8759916492693107
2006,AM,Automated Manual,6,331.8333333333333,14.416666666666666,4.3
2006,AS,Automatic with Select Shift,197,295.5989847715736,12.823350253807106,3.551776649746193
2006,AV,Continuously Variable,17,223.2941176470588,9.705882352941176,2.4823529411764707
2006,M,Manual,269,269.3197026022305,11.684014869888475,2.907806691449814
2007,A,Automatic,514,307.0603112840467,13.944163424124515,4.023151750972763
2007,AM,Automated Manual,4,378.5,16.45,4.825
2007,AS,Automatic with Select Shift,221,297.42986425339365,12.95158371040724,3.6180995475113122
2007,AV,Continuously Variable,34,222.58823529411765,9.676470588235293,2.4735294117647055
2007,M,Manual,270,269.86296296296297,11.731481481481481,2.914814814814815
2008,A,Automatic,483,301.84265010351965,13.689026915113873,3.932919254658385
2008,AM,Automated Manual,4,378.5,16.45,4.825
2008,AS,Automatic with Select Shift,268,300.96268656716416,13.084328358208955,3.719402985074627
2008,AV,Continuously Variable,43,220.90697674418604,9.604651162790697,2.776744186046512
2008,M,Manual,281,268.0818505338078,11.654804270462634,2.956583629893238
2009,A,Automatic,475,300.2378947368421,13.83178947368421,4.072210526315789
