model_year,vehicle_records,average_co2_g_km,average_combined_l_100km,average_engine_size_l,average_peer_gap_g_km,previous_year_average_co2,co2_yoy_change_pct,co2_change_vs_1995_pct
1995,839,307.6639,13.27211,3.44601,41.3453516,,,0.0
1996,698,296.1862,12.82206,3.31361,35.3918338,307.6639,-0.03730597,-0.03730597
1997,658,295.8617,12.81869,3.31854,35.8613222,296.1862,-0.00109559,-0.03836069
1998,634,297.9905,12.92713,3.35126,36.4850158,295.8617,0.00719525,-0.03144145
1999,688,295.5625,12.88285,3.29012,34.7198401,297.9905,-0.00814791,-0.03933318
2000,638,296.6426,12.90502,3.26458,33.0905172,295.5625,0.00365439,-0.03582253
2001,679,293.6568,12.8028,3.25258,28.8494109,296.6426,-0.01006531,-0.04552728
2002,740,300.7473,13.23446,3.38,34.0712838,293.6568,0.02414553,-0.02248103
2003,820,298.1476,13.09622,3.33622,36.1929878,300.7473,-0.00864413,-0.03093083
2004,898,298.971,13.17951,3.41314,35.7260579,298.1476,0.00276172,-0.02825453
2005,1019,295.7645,13.02748,3.41099,37.7701178,298.971,-0.01072512,-0.03867662
2006,968,293.3089,12.88337,3.51911,36.8863636,295.7645,-0.00830255,-0.04665806
2007,1043,292.9108,13.03154,3.60297,35.7900288,293.3089,-0.00135727,-0.047952
2008,1079,289.8906,12.85653,3.58285,37.9826228,292.9108,-0.01031099,-0.05776856
2009,1096,286.8066,12.82007,3.66004,38.9635036,289.8906,-0.0106385,-0.06779248
2010,1030,278.0175,12.4535,3.55631,39.9898058,286.8066,-0.03064469,-0.0963597
2011,1085,274.4286,12.45456,3.5765,39.1403226,278.0175,-0.0129089,-0.1080247
2012,1091,269.6636,12.24574,3.56095,38.560495,274.4286,-0.01736335,-0.12351238
2013,1082,260.4196,11.86442,3.42394,36.6254621,269.6636,-0.03427975,-0.15355815
2014,1071,256.1167,11.57208,3.34258,38.1388889,260.4196,-0.01652295,-0.16754387
2015,1132,246.9708,10.97906,3.17694,36.0501325,256.1167,-0.03570989,-0.19727079
2016,1110,248.164,10.81009,3.11333,34.2781532,246.9708,0.00483134,-0.19339253
2017,1058,249.9244,10.86588,3.10709,34.6075142,248.164,0.0070937,-0.1876707
2018,1083,250.0379,10.84598,3.11219,35.0191597,249.9244,0.00045414,-0.18730179
2019,1056,251.2794,10.86809,3.10701,34.5956439,250.0379,0.00496525,-0.18326655
2020,975,254.7826,10.96841,3.15538,38.9120513,251.2794,0.01394145,-0.17188009
2021,970,259.634,11.10278,3.21784,39.8193299,254.7826,0.01904133,-0.15611159
2022,959,260.3733,11.14286,3.20605,41.254171,259.634,0.00284747,-0.15370864
2023,799,256.0889,10.99274,3.15181,41.6670839,260.3733,-0.01645484,-0.16763423
